,city,person_capacity,count,percentage
0,amsterdam,Couple,1247,59.95192307692307
1,amsterdam,Family,794,38.17307692307692
2,amsterdam,Group,39,1.875
3,athens,Couple,1304,24.6969696969697
4,athens,Family,3336,63.18181818181819
5,athens,Group,640,12.121212121212121
6,barcelona,Couple,2056,72.57324391104835
7,barcelona,Family,612,21.602541475467703
8,barcelona,Group,165,5.824214613483939
9,berlin,Couple,1551,62.43961352657005
10,berlin,Family,787,31.68276972624799
11,berlin,Group,146,5.877616747181964
12,budapest,Couple,1185,29.46295375435107
13,budapest,Family,2418,60.119343610144206
14,budapest,Group,419,10.417702635504723
15,lisbon,Couple,2341,40.62120423390595
16,lisbon,Family,2789,48.394933194516746
17,lisbon,Group,633,10.983862571577303
18,london,Couple,6207,62.11347943560492
19,london,Family,3104,31.06174322025418
20,london,Group,682,6.824777344140899
21,paris,Couple,3686,55.11363636363637
22,paris,Family,2610,39.02511961722488
23,paris,Group,392,5.861244019138756
24,rome,Couple,3431,38.00819762933422
25,rome,Family,4765,52.78608618588678
26,rome,Group,831,9.205716184778996
27,vienna,Couple,1325,37.46112524738479
28,vienna,Family,1885,53.293751767034216
29,vienna,Group,327,9.245122985581
